METRIC,MEDIAN,CI_LOW,CI_HIGH
AGREEMENT,0.837378641,0.803337379,0.873786408
AUC,0.842488367,0.807081394,0.878784738
PPV,0.721590909,0.670451424,0.778497515
NPV,0.918103448,0.886361408,0.948068598
SENSITIVITY,0.86013986,0.804195804,0.916083916
SPECIFICITY,0.82527881,0.776951673,0.869888476
KAPPA,0.654480302,0.586584129,0.729898033
