METRIC,MEDIAN,CI_LOW,CI_HIGH
AGREEMENT,0.876213592,0.84223301,0.905339806
AUC,0.875994631,0.844658016,0.906438194
PPV,0.831521739,0.78237829,0.875725324
NPV,0.911504425,0.878661088,0.942477876
SENSITIVITY,0.884393064,0.832369942,0.924855491
SPECIFICITY,0.870292887,0.824267782,0.907949791
KAPPA,0.746352373,0.681481295,0.807079051
