METRIC,MEDIAN,CI_LOW,CI_HIGH
AGREEMENT,0.868932039,0.854368932,0.883495146
AUC,0.556107539,0.517387493,0.602035846
PPV,0.714285714,0.384375,1
NPV,0.873134328,0.863523573,0.884711779
SENSITIVITY,0.120689655,0.051724138,0.206896552
SPECIFICITY,0.991525424,0.980225989,1
KAPPA,0.171581769,0.05376506,0.294721826
